Model,Best_Params,CV_F1_Mean,Test_Accuracy,Test_F1_Macro,Test_F1_Weighted,Test_ROC_AUC
Naive Bayes,{'alpha': 0.1},0.8779921370968296,0.8120567375886525,0.7336541031809676,0.8217930124497375,0.8535542651181418
SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9551201380587246,0.8546099290780141,0.7239782276546982,0.8397960247928958,0.843942731277533
Random Forest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.9274268445537178,0.8652482269503546,0.7792700008239268,0.8632941763565722,0.8453644373247898
