Komentar,Sumber_Video
"Tidak bisa dipungkiri bahwa sampai saat ini masih banyak pekerja yang bergaji di bawah UMR, apalagi yang harus transit berkali-kali untuk sampai ke tempat kerja. Belum lagi mereka yang sedang menganggur, sehingga setiap kenaikan biaya transportasi akan menambah beban pengeluaran mereka. Kecuali kondisi ekonomi sudah membaik, saran saya jangan menaikkan tarif. Mohon kebijakan berpihak kepada rakyat kecil. Dengan penghasilan Transjakarta yang lumayan besar, bahkan mencapai triliunan per tahun, sebaiknya lebih memperhatikan kondisi ekonomi masyarakat yang membutuhkan transportasi nyaman dan terjangkau.",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
Anies udh bikin angkot di jakarta gratis ❤️❤️❤,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Semua naik , cuma gaji yang ga naik naik🗿",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Kalo kaya gini kasian pedagang2 kaki lima yang menggunakan TJ. Saya sering ketemu area Pulo Gadung, Petamburan, Kalideres banyak pedagang yg pakai TJ. Kalau dinaikan, rasanya berat ke mereka🙏",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
hM mending naik lrt gwa,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
umr juga naikin😁,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
saatnya beli motor,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
kalau masih kena macet 2 jam. i think 3500 udah bener sih. LRT MRT mahal gak apa apa. enggak macet kok,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Sebenernya tarif 3.5k buat operasional, maintenence, dll itu udh lebih dr cukup. Yakali kalo alasan nya ga bisa menutupi semua keperluan tsb selama ini, tj udh collapse dr dlu perusahaan nya, ini masih berdiri kokoh bahkan ketika di serang pandemi. Dan lagi pengguna tj ga cuma secuil, banyakk buangets. Ga semua yg naik juga dr ujung ke ujung, bnyak yg make cuma bbrp halte. Drpd naikin tarif, mendingan hilangin aja tuh HUT HUT event yg tarif di hari tertentu, jadi 80 rupiah, 50 rupiah, dll (walaupun cuma sehari atau dua hari, bayangin seberapa boncos nya! Mana semua org pd kluar, bkin yg kerja shift juga keganggu and mostly di hari2 gini tuh yg ngejar tarif 80 rupiah/tarif murah lainnya tsb, cenderung pd ga tertib & kurang adab. sorry to say but this is the truth). Hilangin juga tarif dr jam 5 smpe jam 7 yg jadi 2k dibikin flat 3.5k aja, lebih baik drpd naikin tarif jadi 5-7 ribuan. Masih bnyak org2 yg gaji nya di bawah umr, para job seekers ngejar2 interview,dll. Tolong lah kaji yg mendalam kalo bkin kebijakan. Disaat negera lain moda transportasi gratis nya sangat2 nyaman, proper dan tetap memberikan great service. Kita transportasi gratis nya cuma jaklingko/bsd link (sy gatau kalo ada yg lain) dan tidak merata di seluruh daerah dan pelayanan yg sebagian besar buruk tpi tidak semua. Dan ironis nya negera2 tsb tidak sekaya negara kita, tetapi rakyat nya merasakan manfaat yg luar biasa dan merata. Lah negara kita? 🤷",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
siap2 aja pada beralih ngga make tj mending naik motor ini mah kalo pengguna motor.. mending gojek kalo deket sekalian wkwkw,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
semuanya aj pd naik arghhhhh bikin stres 😩,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
kemarin naik udh kena 5.000 😑,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"jangan sampe 7k pliss, segini aja gua udah pp 22k tiap hari",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
astagfirullah haladzim... subhanallah kenapa semua2 nya jd mau dinaik2 kin... mana janji2 mu .... wkwkwk,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
kalau yg g kerja bgmn nih.,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
Kalo teje dinaikan yakin orang bakal beralih ke kendaran pribadi yang ada jalanan malah tambah macettt,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
Aaaaa belum siapp😭,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"bukan masalah naik apa ngga nya sih, cuma ya untuk kita yg gajinya pas Pasan buat makan berat banget. contoh 3500 bolak balik 7k sebulan 182. yg 5k bolak balik 10k sebulan 260. disitu berasa bgt walaupun bedanya dikit,cuma lumayan buat beli kebutuhan beras dll",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
boleh naik. asal bis brt dan non brt 1 kali biaya. contoh kp rambutan - Kemang. dari kp rambutan - halte masjid ar raudah no 7A. harus sambung 6N ke arah kemang. itu 1 kali tap in dan out saja (1 biaya) bukan 2 kali biaya,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"klo kya gni jangan smpe ad yg brdiri d dlm bus harus d batasi, krna klo ad anak kecil atau lansia auto kasih tmpt duduk kn? masalah'a kita sma2 byr, dn lg yg muda jga butuh tmpt duduk krna plg kerja cape. gk ad yg tau jga pekerjaan aph aj, biza jdi spg brdiri 10 jam massa hruz brdiri lg?!",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Siap-siap! semua berita indonesia segera pakai ai, tak lagi animasi!",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
semoga sebelum naik suamiku sudah bisa beli motor second aja🤲,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Sumpah sekali naik kepotong 2x tap in/out, pp jadi 4x kepotong dalam sehari. Pdhl sama” brt🏊🏻🏊🏻",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"waah, bisa² mahasiswa turun lg neh,",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
waktu pak Ahok pak Anis pak Budi Transjakarta seperti jeklingko ga pernah naik-naik enak ke pimpinan mereka bertiga.warga jakarta dibuat senang dan bahagia banget.,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
calon calon jalanan macet parah niii karna beralih ke kendaraan pribadi wkwkwkwkwk,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
gaji yang 1.5 JT be like,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Gimana utk rakyat ekonomi kebawah , dan gimana anak sekolah tk, sd, smp, sma , mahasiswa kalau tiap hari naik trans jakarta terasa juga pengeluaran orangtua dgn penghasilan pas pasan..kalau tarip nya dinaiki jadi 9.700-13.000...🙏🏼🙏🏼tolong di kaji ulang pak gubernur 🙏🏼🙏🏼",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
Sy mau naik KIA murah,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
JANGAN MILIH PDI-P LAGI 😂,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
sengaja kuliah ga naik motor biar hemat malah skrg tarif nya naik🥺🥺,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"kadang ngisi uang di tj juga suka ke telen duitnya ga balik lagi pdhl udah lapor ke penjaga jga,ini malah naikin harga kesian yang masi pelajr",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Harga Naik Kualitas Juga Harus Naik, Ga Mikir Apa Orang Yang Kerja Tiap Hari PP? Pejabat Mah Enak, Naek Mobil Bagus, Macet Dikit Tinggal Tot Tot Wuk Wuk Doang",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"JANGANKAN TRANSJAKARTA LAH PAM AJA NAEK DENGAN ALESAN LUAR TANAH BUSEH APA"" NAEK MULU",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Parah bgt, jgn dinaikin dong, udah paling bener di 3.500, di naikin makin mencekik kaum mendang mending, ya kli gaji aja ga naek… 😂😂",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
naik 5000-7000 yakin setiap 5-10 menit Dateng Armada nya ??,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
janji diawal manis udah kepilih malah..... tujuan naik tj agar mengurangi kendaraan pribadi. kl memang naik jgn 5k lah harusnya 3600,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
subsidi sdh tepat sasaran malah di rusak 🤣🤣🤣,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
kl naik 4.000 - 5.000 masih wajar.dari Jakarta ke bogor dari jakarta ke tangerang dari jakarta ke bekasi..dari jakarta ke depok..kl gak ada subsidi jabodetabek pasti gak dinaikkan..blm lagi jaklingko..yg gratis..jakarta kl angkutan umum lbh murah seindonesia..,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"minimal benerin kalo tarif mau naik tdi pagi gua kerja buru² mau ngisi di mesin mikirnya eh malah ngalamin kendala kek bgini,hal kecil kek gini aja gabisa ditangani.ini sudah lebih dri 3 hari mesin nya mati lol lol",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
oke kita sanggup asal tidak ada lagi gaji 6 juta semua 10 juta,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
Subsidi 9.700 artinya lebih rendah dari tahun2 sebelumnya kan ? kok malah dinaikin tarifnya 😂,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
yah ai bete gwe,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
Wkwkwkw 2026 aja bakal pada naek harga ini laagi tj,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"mnurut gue si jangan ya, soalnya ga semua orang pake tj itu untuk kerja dan pnya gaji, sebagian besar ada anak sekolah berangkat sekolah pake tj, seharusnya malah gratis aja ga sih 🥹",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
di Banda aceh -aceh besar transkoetaradja gratis naiknya,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
angkot laku lagi niih,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
gk usah pake ai anjrr,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
buset dah ai lagi ai lagi,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
naik oke tapi tolong berikan solusi untuk bus yang melewati rest Area Jakarta Tangerang - terlalu lama untuk masuk ke rest area karena terlalu banyak truk yang masuk di rest area... makin malam makin macet,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
klau msh 5 rb msh wajarlah,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"tije dalam kota jkrta 3500,, tije luar jkrta tambah 2000 ato 3500,,",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
Pramono mulai kelihatan aslinya...bukannya mensejahterakan kok malah menambah beban ?? Gak sanggup pimpin DKI...MUNDUR !! RINDU ANIES.....,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
klo sampe 7000 naik nya nnti busway nya sepi orang males keluar jln2 mending ngumpul duit buat beli motor dari pada naik busway yg mahal !!!!,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
kalo naik mending naik ojol ga capek ke halte bus,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
nyesel gue nyoblos si pram dan rano,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Kalo di bilang nyaman tentu tidak, namanya transportasi umum subsidi udah pasti jauh dari nyaman. belum lagi waktu tempuh yg lumayan lama di jalan, ya untuk harga 3500 worth it lah. tp kalo sampai naik 7000 maaf banget, apalagi kalo yg transit dari non brt ke brt bisa kena 2 kali. kalo mau itung-itungan ya mending pakai motor sendiri, selain hemat waktu tentunya hemat ongkos 😇",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
ak aj tarif 3.500 sering kepotong nya 2-3x lipat,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
gpp di naikan yg penting armada nya dibanyakin,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
sejujurnya ini memberatkan buat yg gajinya masih dibawah 3jt 😭😭,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
enakk jaman anis,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Naik gpp asal apa yg kita dpt sesuai. ga nunggu lama transjakarta,ga kena macet,transjakartanya ac dingin,aman,nyama bebas dari maling",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Katanya transportasi umum buat kesejahteraan rakyat gimana deh kalo di naikin. Kecuali nih mobil nya banyak, bagus2. Ini aja kadang masih suka ada yg AC nya bocor, trs armadanya dikit kd numpuk orang2. Dan satu lagi halte ga semua nya gede, ada yg sempit dan itu pengappp brooo",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
pada lari ke trans patriot hemat ini sih😂,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
makin banyak aja yang gak mau naik Transjakarta kalo begini... dampaknya makin macetttttt,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Miris bngt, malah make AI kenapa ga pake karya anak bangsa?? 💔🥀",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"naik Tj dh murah itu, dri pada ojol🗿🙏",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
weyyy baru sekali make nyobain kmrn dan ngerasa nyaman dan bakalan mau naik tj aja ternyata baru berapa hari udh naik😢😞,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
Gpp naik asal smua dapat tempat duduk,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
gaji 1.3 jt :') cara aturnya lg gmn,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
pake motor,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
gue baik motor lagi,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
plisss jangan di naikin :(,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"TDK apa naik, asal nyaman dan duduk, tidak diri dan penuh Kya ikan pepes.",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
:( pdhl naik tj biar hemat drpda bayar parkiran motor 😭😭😭😭,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
astaghfirullah,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
yaila..,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
ohh transjakarta bus kirain kereta🙏🙏,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
duh jangan deh,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
stressss,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"gapapa 5rb, asal jgn 7k😭",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
Ya allah,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
dl pp 7000 udah ngebantu bngt 😭😭😭,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
