Model,Best_Params,CV_F1_Mean,CV_F1_Std,Test_Accuracy,Test_F1_Macro,Test_F1_Weighted,Test_ROC_AUC
Naive Bayes,{'alpha': 0.1},0.8796466682631655,0.017469060869172,0.8067375886524822,0.7311878265812545,0.8181079541815969,0.8506307569082899
SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.952879884948908,0.04069431758030473,0.8617021276595744,0.737442704354469,0.847610852851779,0.8429215058069685
Random Forest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9285269936973581,0.010849918295447356,0.875886524822695,0.7952069716775598,0.8736074414005159,0.8498398077693232
